12029595;10227688;9789588925738;Muy bueno;5
1730003932;10227688;9789584291899;Bueno;5
257107057;10227688;9789584291899;Bueno;5
642352434;10227688;9788492946471;Bueno;5
1681962051;10227688;9788492946471;Genial;5
3613635;10227688;9789588925738;Bueno;5
1917916976;10227688;9786073173810;Distópico;3
1476453884;10227688;9789585266322;Bueno;5
7757597;10227688;9789585234048;Bueno;5
2024284483;10227688;9789584293626;Bueno;5
927949459;10227688;9789584292599;Bueno;4
1047561976;10227688;9789584292704;Bueno;5
1047561976;10227688;9789584292704;Bueno;5
